host_genome	K_type	O_type	phage_genome	protein_id	is_tsp	md5	matrix_phage_name
n38493849	KL19		GCF_002587885.1__phage4	GCF_002587885.1__phage4__1730	0	ad0e7b29c288e3bea17ae2807e64b327	GCF_002587885.1__phage4
GCF_018274905.1	KL123		GCF_018274905.1__phage20	GCF_018274905.1__phage20__8	0	84c804c9f39e7eb1536c836d56b0e5e1	GCF_018274905.1__phage20
78.2/1003834	KL15		GCF_003583155.1__phage21	GCF_003583155.1__phage21__19	0	78a925a01cded1fc7a2217b82c890066	GCF_003583155.1__phage21
GCF_007833575.1	KL16		GCF_007833575.1__phage6	GCF_007833575.1__phage6__3440	0	dba5d3f1c77975e25d0b587279a6248a	GCF_007833575.1__phage6
n27912791	KL64		GCF_020177805.1__phage25	GCF_020177805.1__phage25__109	0	49f47b2d42790c8ef99874e436c5fbcb	GCF_020177805.1__phage25
GCF_021460075.1	KL74		GCF_021460075.1__phage11	GCF_021460075.1__phage11__5229	0	ce9e467738adab65bec771f6bea76c9d	GCF_021460075.1__phage11
n31753175	KL106		GCF_002180695.1__phage14	GCF_002180695.1__phage14__89	0	8771de1f5a019b9e86e5cc2a9d411d93	GCF_002180695.1__phage14
n31753175	KL107		GCF_002180695.1__phage14	GCF_002180695.1__phage14__89	0	8771de1f5a019b9e86e5cc2a9d411d93	GCF_002180695.1__phage14
n17061706	KL24		GCF_002853815.1__phage15	GCF_002853815.1__phage15__1	0	e0ae5cde1b71c744b84dab4b40cb1937	GCF_002853815.1__phage15
n5954	KL1		GCF_003345685.1__phage13	GCF_003345685.1__phage13__210	0	85115813b025c4d94923d42bbe4d271f	GCF_003345685.1__phage13
n5203	KL10		GCF_013704985.1__phage7	GCF_013704985.1__phage7__2024	0	850bc5b8223835789132226590ad931d	GCF_013704985.1__phage7
n5203	KL28		GCF_013704985.1__phage7	GCF_013704985.1__phage7__2024	0	850bc5b8223835789132226590ad931d	GCF_013704985.1__phage7
n4451	KL28		GCF_000409715.1__phage2	GCF_000409715.1__phage2__244	0	a2970382012c5dbac154bc7a4a71b5b9	GCF_000409715.1__phage2
GCF_002181265.1	KL23		GCF_002181265.1__phage20	GCF_002181265.1__phage20__17	0	06caa2df63762fceba8e6c3b152533c0	GCF_002181265.1__phage20
n4376	KL1		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL10		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL102		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL103		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL105		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL106		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL110		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL111		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL114		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL118		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL122		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL123		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL125		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL13		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL14		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL142		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL15		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL151		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL16		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL163		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL166		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL17		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL19		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL2		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL21		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL23		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL24		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL25		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL27		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL28		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL3		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL30		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL31		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL35		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL38		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL39		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL43		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL46		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL51		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL55		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL57		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL60		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL61		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL62		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL64		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
n4376	KL8		GCF_922829415.1__phage2	GCF_922829415.1__phage2__1149	0	9753a4ce62d878d09153941b8cd2bb40	GCF_922829415.1__phage2
GCF_015207995.1	KL2		GCF_015207995.1__phage9	GCF_015207995.1__phage9__5	0	7acd1a42c7b6bbee4a963be9934b1fd5	GCF_015207995.1__phage9
n4484	KL10		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL122		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL136		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL19		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL28		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL3		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL30		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL39		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
n4484	KL64		GCF_021135695.1__phage1	GCF_021135695.1__phage1__410	0	74128fc622c1b87bc464166b25f5ce50	GCF_021135695.1__phage1
GCF_901421045.1	KL16		GCF_901421045.1__phage13	GCF_901421045.1__phage13__3680	0	86a240c100c42ccffc7cdd2fd4de8283	GCF_901421045.1__phage13
81.1/1002401	KL47		GCF_013376535.2__phage3	GCF_013376535.2__phage3__913	0	f53a7292a88e1b9222d4703e98f83e2b	GCF_013376535.2__phage3
76.3/1001698	KL24		GCF_020149785.1__phage9	GCF_020149785.1__phage9__3711	0	95fd6f3abc081f5adc5bf3a5eb55ae2d	GCF_020149785.1__phage9
76.3/1001698	KL28		GCF_020149785.1__phage9	GCF_020149785.1__phage9__3711	0	95fd6f3abc081f5adc5bf3a5eb55ae2d	GCF_020149785.1__phage9
76.3/1001698	KL38		GCF_020149785.1__phage9	GCF_020149785.1__phage9__3711	0	95fd6f3abc081f5adc5bf3a5eb55ae2d	GCF_020149785.1__phage9
76.3/1001698	KL64		GCF_020149785.1__phage9	GCF_020149785.1__phage9__3711	0	95fd6f3abc081f5adc5bf3a5eb55ae2d	GCF_020149785.1__phage9
GCF_003057345.1	KL18		GCF_003057345.1__phage5	GCF_003057345.1__phage5__92	0	710bccfff85ac141e289fed59ce3588b	GCF_003057345.1__phage5
GCF_003073335.1	KL64		GCF_003073335.1__phage14	GCF_003073335.1__phage14__4345	0	c9c41536824c211c5b3182defff4623a	GCF_003073335.1__phage14
34.2/100	KL23		GCF_019703225.1__phage11	GCF_019703225.1__phage11__3249	0	7f94fe2741897bfec7a08c2628138c60	GCF_019703225.1__phage11
n3486	KL107		GCF_001903625.3__phage15	GCF_001903625.3__phage15__1	0	714a2e8a54a8dbdb29c8e65fa5adea9a	GCF_001903625.3__phage15
n42374237	KL23		GCF_020023465.1__phage6	GCF_020023465.1__phage6__1900	0	a6379c45135eb7f6158665c0d551b934	GCF_020023465.1__phage6
n51025102	KL38		GCF_019930465.1__phage5	GCF_019930465.1__phage5__69	0	ba3641d06cfb6856d8632f0b93b7ae83	GCF_019930465.1__phage5
n17071707	KL24		GCF_900514815.1__phage9	GCF_900514815.1__phage9__38	0	1d794bb602db844f9ccb6dba4be4c6f7	GCF_900514815.1__phage9
n17071707	KL28		GCF_900514815.1__phage9	GCF_900514815.1__phage9__38	0	1d794bb602db844f9ccb6dba4be4c6f7	GCF_900514815.1__phage9
GCF_019930305.1	KL23		GCF_019930305.1__phage3	GCF_019930305.1__phage3__235	0	5bf6c932574a8c05bfa14e29b625d281	GCF_019930305.1__phage3
GCF_002290285.1	KL145		GCF_002290285.1__phage21	GCF_002290285.1__phage21__5745	0	58f452589d420c4ce3d97cb9566948f2	GCF_002290285.1__phage21
n3866	KL125		GCF_900511765.1__phage18	GCF_900511765.1__phage18__0	0	db4f96ba7d89dca6002a9dfb0cac2e96	GCF_900511765.1__phage18
GCF_900509485.1	KL64		GCF_900509485.1__phage10	GCF_900509485.1__phage10__27	0	2b87ad0544d02779562b637a9e1f5a73	GCF_900509485.1__phage10
n16881688	KL28		GCF_900513115.1__phage3	GCF_900513115.1__phage3__767	0	6b329a79406c5bc41067af95c25593dd	GCF_900513115.1__phage3
n4281	KL15		GCF_001663295.1__phage0	GCF_001663295.1__phage0__112	0	edbcb052b29db988e652cdb50dca4e59	GCF_001663295.1__phage0
n2673	KL64		GCF_019444195.1__phage4	GCF_019444195.1__phage4__1393	0	e15a4f9063b88f20ab2301578a3da44b	GCF_019444195.1__phage4
GCF_900509455.1	KL60		GCF_900509455.1__phage5	GCF_900509455.1__phage5__2	0	ad360b757793e0f05ae89f6699e839f6	GCF_900509455.1__phage5
GCF_904863425.1	KL22		GCF_904863425.1__phage13	GCF_904863425.1__phage13__2944	0	55c43b85d3907a4a416eee1abd5f9190	GCF_904863425.1__phage13
n875	KL81		GCF_002903005.1__phage22	GCF_002903005.1__phage22__4780	0	52686f11f57de55148cfcdccb2f5fde2	GCF_002903005.1__phage22
n97	KL27		GCF_900509035.1__phage17	GCF_900509035.1__phage17__88	0	c6f3b96dc90ec07563030b276afb093b	GCF_900509035.1__phage17
n56025602	KL26		GCF_014856365.1__phage26	GCF_014856365.1__phage26__49	0	a6f5b5e026a85f2e8519b83c9a3570f5	GCF_014856365.1__phage26
n5220	KL2		GCF_900502245.1__phage6	GCF_900502245.1__phage6__383	0	5a59c41ef91c677ab93c1f00b9f33c6e	GCF_900502245.1__phage6
n5220	KL25		GCF_900502245.1__phage6	GCF_900502245.1__phage6__383	0	5a59c41ef91c677ab93c1f00b9f33c6e	GCF_900502245.1__phage6
n5220	KL30		GCF_900502245.1__phage6	GCF_900502245.1__phage6__383	0	5a59c41ef91c677ab93c1f00b9f33c6e	GCF_900502245.1__phage6
n5220	KL64		GCF_900502245.1__phage6	GCF_900502245.1__phage6__383	0	5a59c41ef91c677ab93c1f00b9f33c6e	GCF_900502245.1__phage6
GCF_013782105.1	KL62		GCF_013782105.1__phage4	GCF_013782105.1__phage4__1740	0	b81ce064738a113b1b217e813c09b58c	GCF_013782105.1__phage4
34.2/100	KL23		GCF_019703085.1__phage8	GCF_019703085.1__phage8__3172	0	15d1e2999cc5b0ac407e221ea4104dea	GCF_019703085.1__phage8
n15581558	KL23		GCF_020830225.1__phage7	GCF_020830225.1__phage7__3	0	69e71423b0f475169a0c7d922e2dda96	GCF_020830225.1__phage7
n2318	KL47		GCF_006130375.1__phage1	GCF_006130375.1__phage1__172	0	b481f74fb961436cffc12609bee57a86	GCF_006130375.1__phage1
n329329	KL102		GCF_900508335.1__phage14	GCF_900508335.1__phage14__0	0	578f4b34ef668e16d4f855d2768181aa	GCF_900508335.1__phage14
n329329	KL14		GCF_900508335.1__phage14	GCF_900508335.1__phage14__0	0	578f4b34ef668e16d4f855d2768181aa	GCF_900508335.1__phage14
n329329	KL149		GCF_900508335.1__phage14	GCF_900508335.1__phage14__0	0	578f4b34ef668e16d4f855d2768181aa	GCF_900508335.1__phage14
GCF_010183705.1	KL140		GCF_010183705.1__phage2	GCF_010183705.1__phage2__679	0	b852283c4801ebf98425926ffcf5707b	GCF_010183705.1__phage2
GCF_916172585.1	KL15		GCF_916172585.1__phage6	GCF_916172585.1__phage6__17	0	0c27c4b8d3df6f42068961ba02fdba7d	GCF_916172585.1__phage6
GCF_004312205.1	KL125		GCF_004312205.1__phage0	GCF_004312205.1__phage0__4	0	b5ebec13942b4191093a7c4a84bb9aa5	GCF_004312205.1__phage0
39.4/100	KL28		GCF_900517475.1__phage10	GCF_900517475.1__phage10__0	0	ed961ce8007b29fcd9ad641c7565cd11	GCF_900517475.1__phage10
GCF_019928485.1	KL27		GCF_019928485.1__phage7	GCF_019928485.1__phage7__240	0	9f05cb7631763e857bea6edba36aa84c	GCF_019928485.1__phage7
n53075307	KL1		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL10		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL102		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL105		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL106		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL11		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL111		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL114		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL122		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL123		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL125		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL13		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL14		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL143		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL15		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL151		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL16		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL19		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL2		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL21		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL22		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL23		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL24		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL25		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL28		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL3		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL30		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL31		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL35		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL38		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL39		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL43		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL46		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL51		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL54		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL55		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL57		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
n53075307	KL60		GCF_002775495.1__phage10	GCF_002775495.1__phage10__3	0	de390e428c68666efb656fc0eb35988c	GCF_002775495.1__phage10
